m,n,k,b,p,q,algo,lookahead,gflops
768,256,512,256,2,2,p2p,0,38.180656
768,256,512,256,2,2,p2p,0,66.269449
768,256,512,256,2,2,p2p,0,75.009909
768,256,512,256,2,2,p2p,0,74.071595
768,256,512,256,2,2,p2p,0,73.050287
768,256,512,256,2,2,bcast,0,57.587697
768,256,512,256,2,2,bcast,0,70.814841
768,256,512,256,2,2,bcast,0,69.880801
768,256,512,256,2,2,bcast,0,72.237743
768,256,512,256,2,2,bcast,0,71.215629
768,256,512,256,2,2,p2p-i-la,1,62.080355
768,256,512,256,2,2,p2p-i-la,1,69.929347
768,256,512,256,2,2,p2p-i-la,1,73.103337
768,256,512,256,2,2,p2p-i-la,1,73.023790
768,256,512,256,2,2,p2p-i-la,1,75.715153
1536,512,1024,256,2,2,p2p,0,76.231195
1536,512,1024,256,2,2,p2p,0,82.061079
1536,512,1024,256,2,2,p2p,0,84.320862
1536,512,1024,256,2,2,p2p,0,81.599592
1536,512,1024,256,2,2,p2p,0,82.965680
1536,512,1024,256,2,2,bcast,0,69.366153
1536,512,1024,256,2,2,bcast,0,79.231244
1536,512,1024,256,2,2,bcast,0,79.176716
1536,512,1024,256,2,2,bcast,0,83.106955
1536,512,1024,256,2,2,bcast,0,83.390945
1536,512,1024,256,2,2,p2p-i-la,1,71.067943
1536,512,1024,256,2,2,p2p-i-la,1,79.895466
1536,512,1024,256,2,2,p2p-i-la,1,80.927179
1536,512,1024,256,2,2,p2p-i-la,1,73.813601
1536,512,1024,256,2,2,p2p-i-la,1,81.098327
1536,512,1024,256,2,2,p2p-i-la,2,75.875664
1536,512,1024,256,2,2,p2p-i-la,2,82.430662
1536,512,1024,256,2,2,p2p-i-la,2,83.542341
1536,512,1024,256,2,2,p2p-i-la,2,78.409658
1536,512,1024,256,2,2,p2p-i-la,2,82.153164
2304,768,1536,256,2,2,p2p,0,82.711778
2304,768,1536,256,2,2,p2p,0,87.361672
2304,768,1536,256,2,2,p2p,0,88.371480
2304,768,1536,256,2,2,p2p,0,88.043699
2304,768,1536,256,2,2,p2p,0,87.367290
2304,768,1536,256,2,2,bcast,0,81.344075
2304,768,1536,256,2,2,bcast,0,85.563012
2304,768,1536,256,2,2,bcast,0,87.739582
2304,768,1536,256,2,2,bcast,0,87.931188
2304,768,1536,256,2,2,bcast,0,82.207672
2304,768,1536,256,2,2,p2p-i-la,1,81.023984
2304,768,1536,256,2,2,p2p-i-la,1,84.827299
2304,768,1536,256,2,2,p2p-i-la,1,86.317082
2304,768,1536,256,2,2,p2p-i-la,1,85.104863
2304,768,1536,256,2,2,p2p-i-la,1,85.040959
2304,768,1536,256,2,2,p2p-i-la,2,81.645858
2304,768,1536,256,2,2,p2p-i-la,2,83.400861
2304,768,1536,256,2,2,p2p-i-la,2,85.306538
2304,768,1536,256,2,2,p2p-i-la,2,84.918736
2304,768,1536,256,2,2,p2p-i-la,2,86.315704
2304,768,1536,256,2,2,p2p-i-la,3,81.288119
2304,768,1536,256,2,2,p2p-i-la,3,83.878314
2304,768,1536,256,2,2,p2p-i-la,3,84.929352
2304,768,1536,256,2,2,p2p-i-la,3,83.333102
2304,768,1536,256,2,2,p2p-i-la,3,85.441966
3072,1024,2048,256,2,2,p2p,0,86.929754
3072,1024,2048,256,2,2,p2p,0,90.195034
3072,1024,2048,256,2,2,p2p,0,88.693183
3072,1024,2048,256,2,2,p2p,0,88.577941
3072,1024,2048,256,2,2,p2p,0,88.969384
3072,1024,2048,256,2,2,bcast,0,83.014856
3072,1024,2048,256,2,2,bcast,0,86.964952
3072,1024,2048,256,2,2,bcast,0,84.494485
3072,1024,2048,256,2,2,bcast,0,83.668737
3072,1024,2048,256,2,2,bcast,0,85.428348
3072,1024,2048,256,2,2,p2p-i-la,1,81.874923
3072,1024,2048,256,2,2,p2p-i-la,1,84.956329
3072,1024,2048,256,2,2,p2p-i-la,1,84.671055
3072,1024,2048,256,2,2,p2p-i-la,1,85.530992
3072,1024,2048,256,2,2,p2p-i-la,1,85.142709
3072,1024,2048,256,2,2,p2p-i-la,2,80.679390
3072,1024,2048,256,2,2,p2p-i-la,2,85.437979
3072,1024,2048,256,2,2,p2p-i-la,2,85.052788
3072,1024,2048,256,2,2,p2p-i-la,2,80.933277
3072,1024,2048,256,2,2,p2p-i-la,2,85.882168
3072,1024,2048,256,2,2,p2p-i-la,3,79.608178
3072,1024,2048,256,2,2,p2p-i-la,3,84.033249
3072,1024,2048,256,2,2,p2p-i-la,3,85.194501
3072,1024,2048,256,2,2,p2p-i-la,3,84.923297
3072,1024,2048,256,2,2,p2p-i-la,3,83.689387
3072,1024,2048,256,2,2,p2p-i-la,4,81.025397
3072,1024,2048,256,2,2,p2p-i-la,4,85.781539
3072,1024,2048,256,2,2,p2p-i-la,4,85.106155
3072,1024,2048,256,2,2,p2p-i-la,4,84.410345
3072,1024,2048,256,2,2,p2p-i-la,4,84.346804
